URL,Repo,pom-check,PR,merged
https://github.com/eclipse/che,eclipse/che,include-Pom,6772,6222
https://github.com/kevin-wayne/algs4,kevin-wayne/algs4,include-Pom,40,5
https://github.com/rey5137/material,rey5137/material,none,41,24
https://github.com/NLPchina/elasticsearch-sql,NLPchina/elasticsearch-sql,include-Pom,205,86
https://github.com/singwhatiwanna/dynamic-load-apk,singwhatiwanna/dynamic-load-apk,none,45,35
https://github.com/crossoverJie/cim,crossoverJie/cim,include-Pom,30,20
https://github.com/guardianproject/haven,guardianproject/haven,none,140,117
https://github.com/JakeWharton/u2020,JakeWharton/u2020,none,239,209
https://github.com/apache/pulsar,apache/pulsar,include-Pom,5023,4623
https://github.com/markzhai/AndroidPerformanceMonitor,markzhai/AndroidPerformanceMonitor,none,29,24
https://github.com/nhaarman/ListViewAnimations,nhaarman/ListViewAnimations,include-Pom,70,39
https://github.com/abel533/Mapper,abel533/Mapper,include-Pom,49,25
https://github.com/aa112901/remusic,aa112901/remusic,none,1,1
https://github.com/google/j2objc,google/j2objc,none,361,286
https://github.com/OpenAPITools/openapi-generator,OpenAPITools/openapi-generator,include-Pom,3717,3308
https://github.com/smuyyh/BookReader,smuyyh/BookReader,none,12,3
https://github.com/uber/RIBs,uber/RIBs,none,139,113
https://github.com/Nightonke/BoomMenu,Nightonke/BoomMenu,none,4,3
https://github.com/Devlight/InfiniteCycleViewPager,Devlight/InfiniteCycleViewPager,none,5,3
https://github.com/google/closure-compiler,google/closure-compiler,include-Pom,1009,310
https://github.com/NLPchina/ansj_seg,NLPchina/ansj_seg,include-Pom,76,54
https://github.com/Meituan-Dianping/walle,Meituan-Dianping/walle,none,35,33
https://github.com/sparklemotion/nokogiri,sparklemotion/nokogiri,none,444,249
https://github.com/sockeqwe/mosby,sockeqwe/mosby,none,75,68
https://github.com/hongyangAndroid/FlowLayout,hongyangAndroid/FlowLayout,none,9,7
https://github.com/JakeWharton/DiskLruCache,JakeWharton/DiskLruCache,include-Pom,46,26
https://github.com/evant/gradle-retrolambda,evant/gradle-retrolambda,none,54,32
https://github.com/jgilfelt/SystemBarTint,jgilfelt/SystemBarTint,none,7,3
https://github.com/lets-blade/blade,lets-blade/blade,include-Pom,172,148
https://github.com/alibaba/freeline,alibaba/freeline,none,52,36
https://github.com/ArthurHub/Android-Image-Cropper,ArthurHub/Android-Image-Cropper,none,77,49
https://github.com/google/error-prone,google/error-prone,include-Pom,620,433
https://github.com/ityouknow/spring-cloud-examples,ityouknow/spring-cloud-examples,none,24,0
https://github.com/facebook/facebook-android-sdk,facebook/facebook-android-sdk,none,357,55
https://github.com/yarolegovich/DiscreteScrollView,yarolegovich/DiscreteScrollView,none,17,5
https://github.com/wildfirechat/server,wildfirechat/server,none,11,3
https://github.com/real-logic/aeron,real-logic/aeron,none,417,342
https://github.com/thinkaurelius/titan,thinkaurelius/titan,none,231,131
https://github.com/scribejava/scribejava,scribejava/scribejava,include-Pom,391,132
https://github.com/liyifeng1994/ssm,liyifeng1994/ssm,include-Pom,16,6
https://github.com/k9mail/k-9,k9mail/k-9,none,1970,1310
https://github.com/frogermcs/InstaMaterial,frogermcs/InstaMaterial,none,3,2
https://github.com/wasabeef/richeditor-android,wasabeef/richeditor-android,none,23,20
https://github.com/hanks-zyh/HTextView,hanks-zyh/HTextView,none,18,13
https://github.com/json-path/JsonPath,json-path/JsonPath,none,205,162
https://github.com/Trinea/android-common,Trinea/android-common,include-Pom,9,7
https://github.com/amitshekhariitbhu/Fast-Android-Networking,amitshekhariitbhu/Fast-Android-Networking,none,29,23
https://github.com/lightbend/config,lightbend/config,none,212,173
